appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
733430,7,1.5,1.1,0.14285714285714285,2017,The Escape
733990,55,45.54787878787879,5.15,0.7636363636363637,2017,I Can't Believe It's Not Gambling
734920,77,7.184632034632035,4.033333333333333,0.8831168831168831,2018,MEANDERS
735060,13,3.132051282051282,1.5833333333333333,0.6923076923076923,2019,The Forbidden Arts
736400,9,0.6166666666666667,0.3333333333333333,0.5555555555555556,2017,Soundscape (Classic)
736430,5,3.4033333333333333,2.183333333333333,0.2,2017,Clicker bAdventure
739720,87,20.271072796934867,15.8,0.8850574712643678,2018,Penkura
740090,55,6.224242424242424,3.816666666666667,0.7636363636363637,2017,Lost Grimoires 3: The Forgotten Well
741770,10,0.485,0.2833333333333333,0.5,2017,Santa's vacation
742030,16,11.751041666666666,4.85,0.5625,2017,MahJong
742120,59,113.54265536723163,104.08333333333331,0.6101694915254238,2018,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light
744420,49,2.405442176870748,0.45,0.6326530612244898,2017,Adventures Of Pipi
745030,16,3.3802083333333335,3.308333333333333,0.875,2017,Squarism
745090,27,10.43395061728395,4.6,0.8148148148148148,2018,ROMBIE
745650,9,11.344444444444443,9.183333333333334,0.5555555555555556,2018,Cross Pixels
745660,8,3.216666666666667,2.658333333333333,1.0,2018,Sockman
746240,5,0.2733333333333333,0.2333333333333333,0.4,2017,Flip the Table
746710,74,5.411711711711711,1.85,0.8108108108108109,2018,Cypher
748490,71,64.74225352112676,61.0,0.9154929577464789,2018,The Legend of Heroes: Trails of Cold Steel II
749800,72,13.35462962962963,3.4416666666666664,0.5555555555555556,2018,PixelJunk™ Monsters 2
749920,20,11.0625,5.675000000000001,0.7,2018,Eternal Dread
750960,10,5.613333333333333,4.158333333333333,1.0,2017,Yissa Deep Realms
754330,11,1.9454545454545453,0.6166666666666667,0.9090909090909091,2018,Nogibator: Way Of Legs
755920,7,4.288095238095238,2.6166666666666667,1.0,2019,CHOP
756530,57,11.689473684210526,4.3,0.6140350877192983,2019,TOKYO GHOUL:re [CALL to EXIST]
757480,75,9.235333333333333,8.916666666666666,0.84,2018,Broken Reality
757600,6,3.2027777777777775,2.3916666666666666,0.3333333333333333,2018,Hotel Transylvania 3: Monsters Overboard
758090,15,112.71666666666667,8.283333333333333,0.9333333333333333,2018,Monobeno
758190,55,110.31969696969696,44.81666666666667,0.7454545454545455,2018,Dragon Cliff
758250,21,2.53015873015873,1.7833333333333334,0.6190476190476191,2019,Taste of Power
758440,8,3.808333333333333,4.883333333333333,0.75,2019,Last Rose
760580,5,2.3266666666666667,2.433333333333333,0.4,2018,INSPACE 2980
761170,40,70.94083333333333,20.608333333333334,0.825,2018,Radical Dungeon Sweeper
761600,64,9.533072916666667,6.783333333333333,0.9375,2019,Onimusha: Warlords
761700,20,16.94833333333333,11.658333333333333,0.6,2018,Your Diary +
761910,57,20.61052631578947,10.016666666666667,0.7543859649122807,2019,Worbital
763520,5,1.4966666666666666,0.55,0.2,2018,Hard Place
763990,33,7.458585858585859,7.016666666666667,0.696969696969697,2019,Chasing the Stars
764180,6,22.405555555555555,16.816666666666666,0.8333333333333334,2017,Cross of Auria
764590,32,2.534895833333333,1.85,0.75,2018,Shadow of Loot Box
765860,14,4.0285714285714285,3.408333333333333,0.7142857142857143,2017,Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work
765880,88,11.845075757575756,9.049999999999999,0.6363636363636364,2019,The Occupation
766560,17,8.705882352941176,6.85,0.8235294117647058,2018,The Fruitless Flower 雾雨中的徒花
766680,34,9.019117647058822,7.466666666666667,0.5294117647058824,2019,Punch Line
768060,5,1.2799999999999998,0.6333333333333333,0.6,2018,The Warrior Of Treasures
769340,9,14.703703703703702,0.4333333333333333,0.7777777777777778,2018,Zomby Soldier
770020,5,1.2466666666666666,0.7333333333333333,0.6,2018,Royal Tumble
770370,8,14.489583333333332,3.9916666666666667,0.75,2018,Adventures of Dragon
770390,84,4.3805555555555555,3.5916666666666663,0.6309523809523809,2019,Draugen
771070,32,4.252604166666666,1.8083333333333331,1.0,2018,Infinos Gaiden
772610,60,2.0633333333333335,0.9416666666666667,0.9,2018,Q-YO Blaster
774131,5,7.4833333333333325,7.366666666666666,0.8,2018,Nostradamus - The Four Horsemen of the Apocalypse
774411,7,0.8023809523809524,0.65,0.7142857142857143,2018,Temple of Xiala
774661,7,0.761904761904762,0.3833333333333333,0.7142857142857143,2019,Filthy Frank Kart
775860,9,0.7351851851851852,0.5,0.5555555555555556,2018,Midnightland
775940,45,6.618518518518518,3.283333333333333,0.6222222222222222,2019,Rise of Liberty
